"pid","address","value","buildings","year","land","living","good","style","model","grade","beds","baths","heatfuel","heattype","ac","nghd"
3,"199 SOUTH END RD",145670,1,1950,0.25,1475,73,"Cape Cod","Single Family","Above Average",3,2,"Oil/Gas","Hot Water","None","	 0101"
4,"11 URIAH ST",150710,1,1989,0.18,1792,82,"Colonial","Single Family","Average",3,2,"Gas/Oil","Hot Water","Central","	 0101"
5,"181 SOUTH END RD",115010,1,1945,0.36,864,73,"Ranch","Single Family","Average",3,1,"Oil/Gas","FA/HW/ST","None","	 0101"
8,"165 SOUTH END RD",95060,1,1940,0.17,1080,63,"Cape Cod","Single Family","Average",3,1,"Oil/Gas","FA/HW/ST","None","	 0101"
9,"161 SOUTH END RD",95970,1,1930,0.14,1040,63,"Cape Cod","Single Family","Above Average",2,1,"Oil/Gas","FA/HW/ST","None","	 0101"
23,"5 DOUGLASS AV",123340,1,1940,0.16,1484,68,"Cape Cod","Single Family","Average",2,1,"Electric","Heat pump","Heat Pump","	 0101"
25,"17 DOUGLASS AV",90720,1,1940,0.13,998,65,"Bungalow","Single Family","Average",2,1,"Oil/Gas","Forced Hot Air","None","	 0101"
29,"24 URIAH ST",118370,1,1975,0.13,1170,71,"Raised Ranch","Single Family","Average",3,1,"Oil/Gas","FA/HW/ST","Central","	 0101"
33,"1 TOWNSEND AV #B",142380,1,1952,0.19,1480,78,"Ranch","Single Family","Average",3,1,"Oil/Gas","Hot Water","None","	 0101"
34,"9 TOWNSEND AV",129780,1,1927,0.12,1286,78,"Cape Cod","Single Family","Above Average",3,1,"Gas/Oil","FA/HW/ST","Central","	 0101"
35,"17 JOHNSTON ST",116830,1,1935,0.29,1330,63,"Colonial","Single Family","Above Average",3,1,"Oil/Gas","Hot Water","None","	 0101"
38,"20 DOUGLASS AV",133770,1,1930,0.14,1773,68,"Cape Cod","Single Family","Above Average",3,1,"Oil/Gas","FA/HW/ST","Central","	 0101"
42,"7 TOWNSEND AV",137270,1,1920,0.14,1467,78,"Cape Cod","Single Family","Above Average",3,1,"Oil/Gas","FA/HW/ST","Central","	 0101"
54,"13 TOWNSEND AV",127470,1,1929,0.23,1461,76,"Cape Cod","Single Family","Average",3,1,"Electric","Heat pump","Heat Pump","	 0101"
55,"15 TOWNSEND AV",120750,1,1945,0.3,1338,73,"Cape Cod","Single Family","Average",3,1,"Oil/Gas","Hot Water","None","	 0101"
78,"400 BURR ST #5",190960,1,2009,0.35,1828,90,"Cape Cod","Single Family","Ave/Good",3,2,"Gas/Oil","FA/HW/ST","Central","	 0200"
79,"400 BURR ST #6",198730,1,2009,0.19,2038,90,"Cape Cod","Single Family","Ave/Good",3,2,"Gas/Oil","FA/HW/ST","Central","	 0200"
80,"400 BURR ST #7",215460,1,2009,0.24,2025,94,"Cape Cod","Single Family","Ave/Good",3,2,"Oil/Gas","FA/HW/ST","Central","	 0200"
81,"400 BURR ST #8",229250,1,2009,0.31,2312,90,"Cape Cod","Single Family","Good",3,2,"Gas/Oil","FA/HW/ST","Central","	 0200"
96,"310 BURR ST",122500,1,1965,0.2,1560,68,"Raised Ranch","Single Family","Above Average",3,1,"Oil/Gas","Hot Water","Central","	 0200"
97,"175 TOWNSEND TER",186480,1,1968,0.19,2880,68,"Split-Level","Single Family","Ave/Good",3,1,"Oil/Gas","Forced Hot Air","Central","	 0200"
100,"135 TOWNSEND TER",133280,1,1965,0.39,1404,68,"Ranch","Single Family","Average",3,1,"Oil/Gas","Forced Hot Air","None","	 0200"
